bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,latency,noise,message
0.9375,0,0.5,1.0,1,1.0,0.0004284381866455078,0.0,06
1.0,1,1.0,0.75,0,0.0,0.0004286766052246094,0.0,42
0.875,0,0.0,0.875,0,0.0,0.0004258155822753906,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004286766052246094,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.0004222393035888672,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.0004265308380126953,0.0,06
1.0,1,1.0,0.875,0,0.5,0.0004291534423828125,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004298686981201172,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004315376281738281,0.0,23
1.0,1,1.0,1.0,1,1.0,0.000423431396484375,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.0004253387451171875,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00042510032653808594,0.0,42
