bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,hmm_bit_acc,hmm_msg_acc,hmm_msg_similarity,fb_bit_acc,fb_msg_acc,fb_msg_similarity,med_bit_acc,med_msg_acc,med_msg_similarity,latency,noise,message
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.00044345855712890625,0.0,49
0.9375,0,0.5,0.9375,0,0.5,0.8125,0,0.5,0.9375,0,0.5,0.375,0,0.0,0.0004372596740722656,0.0,78
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.625,0,0.0,0.0004382133483886719,0.0,65
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.625,0,0.0,0.00043773651123046875,0.0,01
1.0,1,1.0,0.875,0,0.5,0.75,0,0.0,0.75,0,0.0,0.5,0,0.0,0.00043487548828125,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5,0,0.0,0.000431060791015625,0.0,49
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.4375,0,0.0,0.00043010711669921875,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043201446533203125,0.0,65
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.625,0,0.0,0.0004372596740722656,0.0,01
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.3125,0,0.0,0.0004341602325439453,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.0004382133483886719,0.0,49
0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.4375,0,0.0,0.0004363059997558594,0.0,78
1.0,1,1.0,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.625,0,0.0,0.00043511390686035156,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.0004360675811767578,0.0,01
1.0,1,1.0,1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.3125,0,0.0,0.0004317760467529297,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.0004343986511230469,0.0,49
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.5625,0,0.0,0.0004394054412841797,0.0,78
0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.375,0,0.0,0.0004360675811767578,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.0004696846008300781,0.0,01
1.0,1,1.0,1.0,1,1.0,0.875,0,0.5,1.0,1,1.0,0.3125,0,0.0,0.0004410743713378906,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.625,0,0.0,0.00043320655822753906,0.0,49
0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.4375,0,0.0,0.00043463706970214844,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043129920959472656,0.0,65
0.9375,0,0.5,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.00042939186096191406,0.0,01
1.0,1,1.0,1.0,1,1.0,0.875,0,0.5,1.0,1,1.0,0.3125,0,0.0,0.0004360675811767578,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.00043654441833496094,0.0,49
1.0,1,1.0,1.0,1,1.0,0.875,0,0.5,1.0,1,1.0,0.4375,0,0.0,0.0004374980926513672,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.000438690185546875,0.0,65
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.0004329681396484375,0.0,01
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.3125,0,0.0,0.00043702125549316406,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.00043487548828125,0.0,49
0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.375,0,0.0,0.0004336833953857422,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043845176696777344,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043654441833496094,0.0,01
0.8125,0,0.0,0.8125,0,0.0,0.8125,0,0.0,0.8125,0,0.0,0.4375,0,0.0,0.0004410743713378906,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.00043082237243652344,0.0,49
1.0,1,1.0,0.875,0,0.5,0.75,0,0.0,0.875,0,0.5,0.5625,0,0.0,0.0004394054412841797,0.0,78
0.875,0,0.0,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.375,0,0.0,0.00043964385986328125,0.0,65
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.0004532337188720703,0.0,01
0.8125,0,0.0,0.8125,0,0.0,0.8125,0,0.0,0.8125,0,0.0,0.4375,0,0.0,0.0004355907440185547,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.625,0,0.0,0.0004382133483886719,0.0,49
1.0,1,1.0,0.875,0,0.5,0.75,0,0.0,0.75,0,0.0,0.5625,0,0.0,0.00043129920959472656,0.0,78
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.6875,0,0.0,0.00043463706970214844,0.0,65
0.9375,0,0.5,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.00043582916259765625,0.0,01
1.0,1,1.0,1.0,1,1.0,0.875,0,0.5,1.0,1,1.0,0.3125,0,0.0,0.0004360675811767578,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.00043702125549316406,0.0,49
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.5625,0,0.0,0.00043845176696777344,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043892860412597656,0.0,65
0.875,0,0.0,0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.5625,0,0.0,0.00043773651123046875,0.0,01
0.9375,0,0.5,0.9375,0,0.5,0.8125,0,0.0,0.8125,0,0.0,0.4375,0,0.0,0.00043463706970214844,0.0,23
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.5625,0,0.0,0.00043320655822753906,0.0,49
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.4375,0,0.0,0.0004298686981201172,0.0,78
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5,0,0.0,0.00043582916259765625,0.0,65
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.00043010711669921875,0.0,01
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.3125,0,0.0,0.0004546642303466797,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.00043773651123046875,0.0,49
0.875,0,0.0,0.75,0,0.0,0.75,0,0.0,0.75,0,0.0,0.375,0,0.0,0.00043487548828125,0.0,78
0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.375,0,0.0,0.00043392181396484375,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043654441833496094,0.0,01
